hidden,dropout,epochs,weight_decay,nin,nout,alpha,ipm,mean_pehe,mean_mae_ate
100,0.1,200,0.0001,1,1,0.0001,mmd,61.37268680996365,47.45743751525879
100,0.1,200,0.0001,1,1,0.0001,wasserstein,62.155548731486,48.323676851060654
100,0.1,200,0.0001,1,2,0.0001,mmd,62.28391689724393,48.54534594217936
100,0.1,200,0.0001,1,2,0.0001,wasserstein,61.577167722913956,47.80777019924588
100,0.1,200,0.0001,1,3,0.0001,mmd,61.58521419101291,47.92817730373807
100,0.1,200,0.0001,1,3,0.0001,wasserstein,61.61839569939507,47.980664571126304
100,0.1,200,0.0001,2,1,0.0001,mmd,56.7284787495931,44.46176613701714
100,0.1,200,0.0001,2,1,0.0001,wasserstein,56.24919064839681,43.96625179714627
100,0.1,200,0.0001,2,2,0.0001,mmd,57.53296131557889,44.99953969319662
100,0.1,200,0.0001,2,2,0.0001,wasserstein,57.672355863783096,45.10342682732476
100,0.1,200,0.0001,2,3,0.0001,mmd,58.177123387654625,45.74815029568143
100,0.1,200,0.0001,2,3,0.0001,wasserstein,57.970472971598305,45.5063107808431
